,,,,,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,,,,,,,,,,,Southernly distribution (place),,,,,,,,,,,,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,
Tyto_alba,Barn owl,533.2,32.5,22.5,Edwards 1987,,Strigiformes,Tytonidae,Resident,Non,,,"North Yorkshire, England",,,"Burnhope Resevoir, Durham, England",,,"Middleton-in Teesdale, Durham, England",,,"Lincolnshire, England",,,"Holme, Cambridgeshire, England",,,"north of Puerto San Julián, Argentina",,,"Parque Nacional Nahuelbuta, Chile",,,"Languiñeo, Argentina (Piedra Parada, Northeast of Parque Nacional Corcovado)",,,"just north of Puerto Santa Cruz, Argentina",,,"Lago Puelo, Argentina",,,January 19,August 13,June 1,January 24,January 22,33.75,61.6,61.77,54.54,34.25,32,59,50,48,28,36,66,72,57,37,January 25,October 6,February 21,December 26,November 10,n/a,n/a,n/a,58.38,n/a,n/a,n/a,n/a,46,n/a,n/a,n/a,n/a,72,n/a,n/a,79,79,88,93,n/a,n/a,n/a,79,n/a,n/a,30,19,25,25,n/a,n/a,n/a,37,n/a,n/a,54.54,52.31,51.32,50.76,n/a,n/a,n/a,54.54,n/a
Zosterops_lateralis,Silvereye,10.9,33.5,25.4,Maddocks and Geiser 2000,summer,Passeriformes,Zosteropidae,Resident,Non,,,"Iron Range National Park, Cook, Australia",,,"Aore Island, Vanuatu",,,"Cook, Australia",,,"Iron Range National Park, Cook, Australia",,,"Mount Webb National Park, Cook, Australia",,,"Auckland Island, New Zealand",,,"Disappointment Island, New Zealand",,,"Campbell islands, new zealand",,,"Northeast island, New Zealand",,,"Invercargill, New Zealand",,,January 9,September 29,January 31,January 1,November 23,81.81,n/a,81.38,78.12,80.3,75,n/a,77,73,77,93,n/a,88,84,84,December 7,January 16,January 8,November 18,February 28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,93,n/a,n/a,95,95,n/a,n/a,n/a,n/a,n/a,50,n/a,n/a,59,50,n/a,n/a,n/a,n/a,n/a,75.83,n/a,n/a,78.33,76.11,n/a,n/a,n/a,n/a,n/a
Zosterops_lateralis,Silvereye,10.9,33.6,27,Maddocks and Geiser 2000,winter,Passeriformes,Zosteropidae,Resident,Non,,,"Iron Range National Park, Cook, Australia",,,"Aore Island, Vanuatu",,,"Cook, Australia",,,"Iron Range National Park, Cook, Australia",,,"Mount Webb National Park, Cook, Australia",,,"Auckland Island, New Zealand",,,"Disappointment Island, New Zealand",,,"Campbell islands, new zealand",,,"Northeast island, New Zealand",,,"Invercargill, New Zealand",,,January 9,September 29,January 31,January 1,November 23,81.81,n/a,81.38,78.12,80.3,75,n/a,77,73,77,93,n/a,88,84,84,December 7,January 16,January 8,November 18,February 28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,93,n/a,n/a,95,95,n/a,n/a,n/a,n/a,n/a,50,n/a,n/a,59,50,n/a,n/a,n/a,n/a,n/a,75.83,n/a,n/a,78.33,76.11,n/a,n/a,n/a,n/a,n/a
Aegithalos_concinnus,black-throated tit,6.8,32,28,Liang et al. 2016,,Passeriformes,Aegithalidae,Resident,Non,,,"Yanta District, China",,,"Shaanxi Chichuashan National Geopark, China",,,"Tangjiahe, China",,,"Changqing Reserve, China",,,"Thanamandi, Tehsil, Jammu and Kashmir",,,"Deo Nui San Pass, Vietnam",,,"Deo Nui San Pass, Vietnam",,,"Deo Nui San Pass, Vietnam",,,"Deo Nui San Pass, Vietnam",,,"Deo Nui San Pass, Vietnam",,,January 10,June 1,May 20,August 7,December 31,28.42,72.22,76.35,n/a,38,19,63,70,n/a,28,34,79,81,n/a,48,June 3,January 5,February 13,January 1,February 6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,100,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,9,37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,56.25,62.29,72.42,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Alauda_arvensis,Skylark,31.7,35.1,22.2,Tieleman et al. 2002,,Passeriformes,Alaudidae,Migratory,Non,,,"Røstlandet, Norway",,,"Karungi, Sweden",,,"Tyrnävä, Finland",,,"Bälinge, Sweden",,,"Arpela, Finland",,,"Slope Point, Southland, New Zealand",,,"Mason Bay, Steward Island, New Zealand",,,"Ernest Island, New Zealand",,,"Otara, New Zealand",,,"Fortrose Estuary, New Zealand",,,May 9,May 5,May 7,June 23,June 6,n/a,36.75,33.25,66.63,49.13,n/a,32,25,61,45,n/a,43,41,73,54,October 16,February 7,October 15,February 27,February 18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,75,81,73,n/a,n/a,n/a,n/a,n/a,n/a,7,23,12,-2,n/a,n/a,n/a,n/a,n/a,n/a,50.47,50.23,49.21,43.72,n/a,n/a,n/a,n/a,n/a
Aramides_cajaneus,Grey-necked Wood-rail,374.3,38,31,"McNab and Ellis, 2006",,Gruiformes,Rallidae,Migratory,Non,,,"Pueblo Nuevo de La Sierra, Venezuela",,,"Punta Róbalo, Panama",,,"Peñas Blancas, Costa Rica",,,"Canoabo, Venezuela",,,"El Baul, Venezuela",,,"Mar de Cobo, Argentina",,,"Mar de Cobo, Argentina",,,"Mar de Cobo, Argentina",,,"Reserva El Destino, Magdalena, Argentina",,,"Cariló, Argentina",,,May 4,October 26,March 4,August 18,January 4,n/a,n/a,n/a,91,82.05,n/a,n/a,n/a,72,70,n/a,n/a,n/a,79.67,91,January 1,January 1,May 11,July 19,January 1,n/a,n/a,n/a,45.78,n/a,n/a,n/a,n/a,39,n/a,n/a,n/a,n/a,52,n/a,n/a,n/a,n/a,102,n/a,n/a,n/a,n/a,82,n/a,n/a,n/a,n/a,68,n/a,n/a,n/a,n/a,30,n/a,n/a,n/a,n/a,79.35,n/a,n/a,n/a,n/a,51.73,n/a
Bolborhynchus_lineola,Linneated Parakeet (Barred Parakeet),55.7,30,28,"Bucher, 1981",,Psittaciformes,Psittacidae,Migratory,Non,,,"Reserva de la Biosfera El Truinfo, Mexico",,,"Chiapas, Mexico",,,"Reserva de la Biosfera El Triunfo, Mexico",,,"Reserva de la Biosfera El Triunfo, Mexico",,,"Reserva de la Biosfera El Triunfo, Mexico",,,"Carretera Satipo, Peru",,,"Nanegal, Ecuador",,,"San Juan del Oro district, Peru",,,"Bosque de Proteccion Pui Pui, Peru",,,"Nanegal, Ecuador",,,June 2,June 16,January 16,October 31,February 15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,September 12,January 25,July 5,August 7,January 7,n/a,63.6,47,n/a,64.8,n/a,55,25,n/a,54,n/a,70,59,n/a,71,n/a,n/a,n/a,n/a,n/a,n/a,74,72,n/a,77,n/a,n/a,n/a,n/a,n/a,n/a,46,19,n/a,49,n/a,n/a,n/a,n/a,n/a,n/a,60.77,52.72,n/a,62.21
Cardinalis_sinuatus,Pyrrhuloxia or desert cardinal,32,42.8,29,"Hinds and Calder, 1973",,Cardinalis,sinuatus,Resident,Non,,,"Congress, Yavapai, Arizona",,,"Anthony Municipal Lake, Harper, Kansas",,,"Socorro, New Mexico",,,"Socorro, New Mexico",,,"Congress, Yavapai, Arizona, ",,,"El Mexquite, Mexico (just east of Jesus Gómez Portugal)",,,"El Mexquite, Mexico (just east of Jesus Gómez Portugal)",,,"El Mexquite, Mexico (just east of Jesus Gómez Portugal)",,,"Laguna La Colorada, Mexico (near San Juanito de Escobedo)",,,"Asupmatoma, Mexico (north San Cristóbal)",,,May 4,February 2,January 12,January 3,March 27,63.22,29.21,44.79,30.21,58.43,46,14,34,20,38,78,42,57,40,78,March 24,January 7,November 5,January 10,March 8,n/a,n/a,n/a,58.16,n/a,n/a,n/a,n/a,39,n/a,n/a,n/a,n/a,75,n/a,96,101,98,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,8,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.23,56.55,60.34,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Carduelis_tristis (Spinus_tristis),American Goldfinch,14.5,35,23,Dawson and Carey 1976,,Passeriformes,Fringillidae,Migratory,Non,,,"Lloydminster, Saskatchewan, Canada (By Bousquet Lake, southwest of Goodsoil)",,,"Fort McMurray, Alberta, Canada (north of Kinosis, east of Cheecham)",,,"Beaver Crossing, Alberta, Canada",,,"Fawcett Lake, Alberta, Canada",,,"North Cook Lake Natural Area, Edmonton, Alberta Canada",,,"Osceola, Florida (just east of Deer Park)",,,"Tuleta, Texas",,,"Pasco, Florida (west of Dade City)",,,"Sablatura Nature Park, Nueces, Texas",,,"Bluntzer, Texas",,,June 29,June 9,August 18,June 6,May 24,n/a,70.54,n/a,66.29,65.04,n/a,59,n/a,50,41,n/a,84,n.a,79,81,April 3,June 9,December 27,January 10,January 6,69.54,83.83,68.71,45.58,50.21,63,76,60,36,38,76,93,77,56,64,n/a,n/a,n/a,81,91,95,n/a,82,97,89,n/a,n/a,n/a,-27,-20,55,n/a,43,33,32,n/a,n/a,n/a,39.28,46.9,78.35,n/a,66.3,70.45,64.5
Colius_colius,White-backed mousebird,35.1,33,26,McKechnie and Lovegrove 2001,,Coliiformes,Coliidae,Resident,Non,,,"Brandberg White Lady Lodge, Namibia (east of Brandberg West Mine)",,,"Windhoek, Namibia",,,"Grosse Spitzkoppe Nature Reserve, Namibia",,,"Grosse Spitzkoppe Nature Reserve, Namibia",,,"Cape Cross, Namibia (Dorob National Park)",,,"Swellendam, South Africa",,,"Grotto Bay, South Africa",,,"Tygerberg Nature Reserve, Bellville, South Africa",,,"west of Rooiberg Nature Reserve, South Africa",,,"Rooiberg Nature Reserve, South Africa",,,July 2,March 1,April 17,January 2,November 10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,December 12,July 24,March 13,December 19,July 18,n/a,58.88,71.04,n/a,n/a,n/a,50,64,n/a,n/a,n/a,68,81,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,90,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,37,48,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61.77,67.16,n/a,n/a
Colius_striatus,Speckled Mousebird,52.5,40,25,Bartholomew and Trost 1970,,Coliiformes,Coliidae,Resident,Non,,,"Asmara, Eritrea",,,"Gondar, Ethiopia",,,"Bahir Dar, Ethiopia",,,"Lalibela, Ethiopia",,,"Bahir Dar, Ethiopia",,,"Cape Aguhlas, South Africa",,,"De Mond Nature Reserve, South Africa",,,"Cape Aguhlas, South Africa",,,"De Hoop Reserve, South Africa",,,"De Hoop Nature Reserve, South Africa",,,February 23,April 8,January 28,November 25,November 24,83.58,n/a,n/a,n/a,n/a,79,n/a,n/a,n/a,n/a,88,n/a,n/a,n/a,n/a,June 16,December 1,August 3,January 11,January 28,51.34,69.21,56.35,79.75,72.75,39,63,52,68,64,72,77,63,90,82,104,n/a,n/a,n/a,n/a,91,88,93,97,108,72,n/a,n/a,n/a,n/a,37,52,37,34,36,88.33,n/a,n/a,n/a,n/a,60.27,68.92,61.57,63.35,62.89
Columba_vitiensis,Metallic Pigeon,467.9,34,22,McNab 2000,,Columbiformes,Columbidae,Migratory,Non,,,"Pulau Mantanani Besar, Malaysia",,,"Mount Tagubud, New Bataan, Philippines",,,"Tuba, Mount Santo Tomas, Philippines",,,"Maratua Island, Indonesia",,,"Mount Malindang Range Natural Park, Philippines",,,"La Foa, New Caledonia",,,"Mont Koghi, New Caledonia",,,"Kuto, Isle of the Pines, New Caledonia",,,"Mont Koghi, New Caledonia",,,"Kuto Bay, Isle of Pines, New Caledonia",,,October 12,January 19,May 31,October 2,November 28,n/a,n/a,n/a,na,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,August 21,June 15,August 26,February 28,June 2,66.13,n/a,n/a,n/a,n/a,59,n/a,n/a,n/a,n/a,73,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Columbina_inca,Inca Dove,41.5,35,32,Macmillen and Trost 1967,,Columbiformes,Columbidae,Resident,Non,,,"Congress, Yavapai, Arizona",,,"Date Creek Ranch Yavapai, Arizona",,,"Date Creek Ranch Yavapai, Arizona",,,"Henrietta, Texas",,,"Date Creek Ranch Yavapai, Arizona",,,"Hacienda Baru, Costa Rica",,,"Hacienda Baru, Costa Rica",,,"Hacienda Baru, Costa Rica",,,"Hacienda Baru, Costa Rica",,,"Hacienda Baru, Cost Rica",,,March 26,March 29,May 13,January 1,March 23,56,55.63,64.09,36.33,56.09,38,38,48,30,42,70,71,75,44,69,January 2,January 9,January 24,January 4,February 25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96,99,99,n/a,92,n/a,n/a,n/a,n/a,n/a,14,11,24,n/a,19,n/a,n/a,n/a,n/a,n/a,55.71,57.34,64.56,n/a,59.81,n/a,n/a,n/a,n/a,n/a
Corvus_corax,Common Raven,1097,36,30,Schwan and Williams 1978,,Passeriformes,Corvidae,Resident,Non,,,"Beechey Island, Baffin, Nunavut, Canada",,,"Etah, Greenland",,,"Arctic Bay, Baffin, Nunavut, Canada",,,"Resolute, Baffin, Nunavut, Canada",,,"Zackenberg, Greenland",,,"Montaña de Congolón, Honduras",,,"San Juan, Honduras",,,"Rancho Zapata, San Pablo Villa de Mitla, Mexico",,,"Tlacolula de Matamoros, Mexico",,,"Pino Real, Mexico",,,September 4,September 16,May 9,July 31,July 9,35.7,n/a,n/a,42.22,n/a,32,n/a,n/a,37,n/a,39,n/a,n/a,46,n/a,August 2,April 29,March 24,January 7,January 19,72.33,74.54,73.94,66.59,57.46,66,64,50,48,43,84,84,88,81,75,90,n/a,n/a,57,n/a,97,93,93,95,88,-31,n/a,n/a,-29,n/a,57,59,46,41,36,6.73,n/a,n/a,18.07,n/a,72.71,71.19,73.23,71.39,63.73
Cyanocitta_cristata,Blue Jay,80.8,34.1,18,Misch 1960,,Passeriformes,Corvidae,Resident,Non,,,"Northern Rockies, British Columbia, Canada",,,"Fort Nelson, British Columbia, Canada",,,"Fort Nelson, British Columbia, Canada",,,"Fort Nelson, British Columbia, Canada",,,"Fort Nelson, British Columbia, Canada",,,"Key Largo, Florida",,,"Key Largo, Florida",,,"Quarry Lake, Miami-Dade, Florida",,,"Biscayne National Park, Miami-Dade, Florida",,,"Key Largo, Florida",,,February 15,February 3,February 18,June 16,March 31,3.38,-14.68,19.04,52.35,31.35,0,-24,12,46,28,5,-4,27,63,43,May 27,January 14,June 10,March 11,February 26,81.96,61.11,82.72,76,78.54,79,53,77,72,73,87,74,88,81,86,79,97,88,86,93,96,84,94,94,90,-24,-24,-22,-13,-8,46,44,49,57,42,29.205,38.32,40.02,43.44,46.98,81.14,75.485,79.92,78.94,72.03
Cyanoramphus_auriceps,Yellow-fronted Parakeet (Yellow Crowned Parakeet),52.9,37,22,McNab and Salisbury 1995,,Psittaciformes,Psittaculidae,Resident,Non,,,"Waipapa Forest edge, Otorohanga District, New Zealand",,,"Mangatutu Forest, New Zealand",,,"just south of Wharepapa South, New Zealand",,,"Okahukura, New Zealand",,,"just south of Wharepapa South, New Zealand",,,"Codfish Island, Sealers Bay, New Zealand",,,"Fiordland National Park, Anchor Island, New Zealand",,,"Pomona Island, Lake Manapouri, New Zealand",,,"Southeast of Pariroa/ Castle Mount, New Zealand",,,"Fiordland National Park, Mirror Lakes, New Zealand",,,March 1,December 22,December 29,October 15,December 26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,May 31,February 8,February 23,February 22,December 16,n/a,n/a,51,58.38,n/a,n/a,n/a,46,45,n/a,n/a,n/a,68,68,n/a,81,84,n/a,76,n/a,n/a,n/a,82,84,n/a,43,49,n/a,37,n/a,n/a,n/a,24,22,n/a,61.46,65,n/a,56.15,n/a,n/a,n/a,51.24,49.59,n/a
Dromaius_novaehollandiae,Emu,39700,35,20,Maloney and Dawson 1994,,Casuariiformes,Casuariidae,Resident,Non,,,"Cook, Australia",,,"Lake Elphinstone, Isaac, Australia",,,"Forever Wild Shared Earth Reserve, Tablelands, Australia",,,"Cook, Australia",,,"Mareeba Wetlands, Tablelands, Australia",,,"Wilsons Promontory National Park, South Gippsland, Australia",,,"Wilsons Promontory National Park, South Gippsland, Australia",,,"Wilsons Promontory National Park, South Gippsland, Australia",,,"Wilsons Promontory National Park, South Gippsland, Australia",,,"Wilsons Promontory National Park, South Gippsland, Australia",,,October 29,September 28,April 1,May 5,September 20,77.33,n/a,83.54,79.46,75.07,72,n/a,79,73,68,84,n/a,91,86,82,June 17,February 23,January 20,February 21,November 8,51.6,79.85,62.81,65.36,60.6,45,68,59,50,45,63,93,68,82,77,93,n/a,106,93,88,91,99,100,104,108,63,n/a,57,59,59,34,28,34,34,41,78.36,n/a,78.61,76.75,74.41,52.27,56.99,56.24,63.25,65.67
Ducula_bicolor,Pied Imperial Pigeon,453.6,36,26,McNab 2000,,Columbiformes,Columbidae,Migratory,Non,,,"El Nido, Philippines",,,"Ko Nang Yuan, Nang Yuan Island, Thailand",,,"Koh Pad, Similan Islands, Thailand",,,"Mu Ko Surin National Park, Thailand",,,"Kamorta, Nicobar, Indonesia",,,"Namar, Maluku, Indonesia (east of Pulau Uhiwa)",,,"Komodo National Park, Nusa Tenggara Timur, Indonesia",,,"Kai Kecil, Maluku, Indonesia",,,"Pulau Rambut, Jakarta Raya, Indonesia",,,"Ohoililur Beach, Maluku, Indonesia",,,November 17,May 1,December 14,February 24,December 21,n/a,n/a,81.88,n/a,n/a,n/a,n/a,75,n/a,n/a,n/a,n/a,88,n/a,n/a,May 21,December 8,November 14,January 24,August 23,n/a,n/a,n/a,82.15,n/a,n/a,n/a,n/a,75,n/a,n/a,n/a,n/a,90,n/a,n/a,n/a,90,n/a,n/a,n/a,n/a,n/a,95,n/a,n/a,n/a,72,n/a,n/a,n/a,n/a,n/a,75,n/a,n/a,n/a,80.12,n/a,n/a,n/a,n/a,n/a,84.23,n/a
Eophona_migratoria,yellow-billed grosbeak,50.5,30,23.5,"Liang et al., 2016",,Passeriformes,Fringillidae,Migratory,Non,,,"Just south of Dalian Xijiao National Forest Park, China",,,"Kuaile Dao, China  (Southeast of Tangshan)",,,"Eocheong Island, South Korea",,,"Beijing Botanical Garden, Beijing, China",,,"Xinggu Residential District, Beijing, China",,,"South of Qingyuan, China",,,"Wenzhou, China",,,"Wangluo Lake, China (east of Nanchang)",,,"east of Nanchang, China",,,"Kinmen, Taiwan",,,January 12,September 27,April 29,February 21,November 3,n/a,n/a,n/a,32.5,51.25,n/a,n/a,n/a,21,38,n/a,n/a,n/a,42,64,January 13,May 5,January 1,April 1,August 2,64.79,n/a,52.25,65.29,n/a,61,n/a,43,54,n/a,70,n/a,60,76,n/a,n/a,n/a,n/a,87,68,n/a,n/a,84,100,n/a,n/a,n/a,n/a,17,17,n/a,n/a,36,36,n/a,n/a,n/a,n/a,48.96,35.38,n/a,n/a,54.79,70.79,n/a
Falco_rupicoloides,Rock Kestrel,220,33,20,Bush et al. 2008,summer,Falconiformes,Falconidae,Resident,Non,,,"Karibib, Namibia",,,"Lubango, Angola",,,"Mt. Tsetserra, Mozambique",,,"Lubango, Angola",,,"Verloren Valei Nature Reserve, South Africa",,,"Pringle Bay, South Africa",,,"Cape Aguhlas, South Africa",,,"Cape Aguhlas, South Africa",,,"Pringle Bay, South Africa",,,"De Mond Nature Reserve, South Africa",,,April 12,April 14,December 12,September 3,July 12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,August 10,September 8,January 27,May 16,May 3,53.35,52.18,66.86,60.87,61.43,43,43,61,55,52,63,59,75,70,72,n/a,n/a,n/a,n/a,n/a,91,95,100,88,84,n/a,n/a,n/a,n/a,n/a,39,37,34,34,36,n/a,n/a,n/a,n/a,n/a,61.7,63.95,62.49,56.87,55.78
Fulica_atra,Eurasian Coot,398,30,20,Brent et al. 1984,,Gruiformes,Rallidae,Migratory,Non,,,"Östersund, Sweden",,,"Patsola, Finland",,,"north of Åsen, Norway",,,"near Mäntyluoto, Finland",,,"Noormarkku, Finland",,,"Lake Hayes, New Zealand",,,"Mandeville, New Zealand",,,"Balclutha, New Zealand",,,"Lake Hayes, New Zealand",,,"Balclutha, New Zealand",,,April 13,June 1,July 25,April 4,June 9,32.42,59.75,44.52,n/a,n/a,21,39,43,n/a,n/a,43,72,46,n/a,n/a,February 26,September 2,January 18,February 2,April 1,57,n/a,n/a,70.88,n/a,44,n/a,n/a,59,n/a,70,n/a,n/a,80,n/a,79,88,79,n/a,n/a,80,83,79,84,74,10,32,0,n/a,n/a,32,30,25,35,21,43.67,59.77,44.31,n/a,n/a,55.85,52.53,48.12,57.77,47
Gallinula_mortierii,Tasmanian Nativehen,954.4,35,15,"McNab and Ellis, 2006",,Gruiformes,Rallidae,Resident,Non,,,"Smithton, Tasmania, Australia",,,"Smithton, Tasmania, Australia",,,"Wynward, Tasmania, Australia",,,"Wynward Shoreline, Waratah/Wynyard, Tasmania, Australia",,,"Stanley, Circular Head, Tasmania, Australia",,,"Lune Plain, Huon Valley, Tasmania, Australia",,,"Huon Valley, Tasmania, Australia (near Ida Bay)",,,"Cape Bruny, Kingsborough, Tasmania, Australia",,,"Cloudy Bay, Bruny Island, Tasmania, Australia",,,"Cloudy Bay, Bruny Island, Tasmania, Australia",,,January 19,January 30,February 11,February 26,August 29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,March 23,September 21,February 18,September 25,January 30,65.94,58.22,n/a,n/a,n/a,61,50,n/a,n/a,n/a,73,68,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,90,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36,34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.41,56.96,n/a,n/a,n/a
Gymnophaps_albertisii,Papuan Mountain Pigeon,241.6,36,22,McNab 2000,,Columbiformes,Columbidae,Resident,Non,,,"Papua Barat, Indonesia",,,"Manokwari, Indonesia",,,"Manokwari, Indonesia",,,"Afrak Mountains, Indonesia",,,"Afrak Mountains, Indonesia",,,"Varirata National Park, Papua New Guinea",,,"Varirata National Park, Papua New Guinea",,,"Varirata National Park, Papua New Guinea",,,"West of Kandipa, Papua New Guinea",,,"Varirata National Park, Papua New Guinea",,,June 6,July 29,July 2,August 11,August 8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,July 25,May 30,July 31,August 23,May 23,78.8,81.35,78.85,80.33,77.17,72,75,77,77,75,84,90,86,88,82,n/a,n/a,n/a,n/a,n/a,90,100,n/a,n/a,61,n/a,n/a,n/a,n/a,n/a,66,70,n/a,n/a,95,n/a,n/a,n/a,n/a,n/a,78.99,77.19,n/a,n/a,78.42
Lichenostomus_virescens,Singing Honeyeater,25,39,30,"Collins, Cary and Payne 1980",,Passeriformes,Meliphagidae,Resident,Non,,,"Southwest of Oombulgurri, Southeast of Drysdale River National Park, Australia",,,"Victoria-Daly, Australia (east of Timber Creek)",,,"McLeods Dam, Victoria-Daly, Australia (East of Timber Creek)",,,"Mungalalu Truscott Air Base, Wyndham-East Kimberley, Australia (near Mary Island/ Kalumburu)",,,"Barred Creek, Broome, Australia",,,"Cape Woolamai, Phillip Island Nature Park, Australia",,,"Bay of Islands, Australia",,,"Twelve Apostles Marine National Park, Australia",,,"Northwest of Wattle Hill, South of Latrobe Bushland Reserve, Australia",,,"Port Campbell National Park, Australia",,,June 24,April 25,May 13,August 19,March 15,n/a,n/a,n/a,n/a,88.09,n/a,n/a,n/a,n/a,84,n/a,n/a,n/a,n/a,93,February 20,October 12,January 1,February 12,February 11,61.15,65.33,n/a,n/a,n/a,48,54,n/a,n/a,n/a,73,73,n/a,n/a,n/a,n/a,n/a,n/a,n/a,102,106,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,46,36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,79.23,60.23,n/a,n/a,n/a,n/a
Lichmera_indistincta,Brown Honeyeater,9,39,30,"Collins, Cary and Payne 1980",,Passeriformes,Meliphagidae,Resident,Non,,,"Obo, Papua New Guinea (north of Erambo, south of Aiambak)",,,"Saibai Island, Australia",,,"Obo, Papua New Guinea (north of Erambo, south of Aiambak)",,,"Obo, Papua New Guinea (north of Erambo, south of Aiambak)",,,"Bamaga, Australia",,,"Rock Gully, Australia (east of Lake Muir National Park)",,,"Porongurup National Park, Australia",,,"Peaceful Bay, Australia",,,"Stirling Range National Park, Australia",,,"Manjimup, Australia",,,July 7,March 15,March 20,March 5,July 5,n/a,n/a,n/a,n/a,77.74,n/a,n/a,n/a,n/a,75,n/a,n/a,n/a,n/a,82,October 22,April 15,October 8,November 15,August 18,63.26,59.23,51.5,76.47,n/a,57,52,46,59,n/a,79,68,59,100,n/a,n/a,n/a,n/a,n/a,84,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88.53,n/a,n/a,n/a,n/a,n/a
Lullula_arborea,Wood lark,25.5,40,27.6,Tieleman et al. 2002,,Passeriformes,Alaudidae,Resident,Non,,,"Raahe, Finland",,,"Utö, Finland (Southwest of Skärgårdshavets National Park)",,,"Utö, Finland (Southwest of Skärgårdshavets National Park)",,,"Kolka, Latvia",,,"Southeast of Stockholm, Sweden",,,"South of Qaa, northeast of Ras Baalbek, Lebanon",,,"Mount Amasa, Israel (near Har Amasa)",,,"Mikhmannim, Israel (east of Karmiel)",,,"East of El Hammam, Morrocco",,,"West of Foinikaria, Cyprus",,,September 28,April 17,September 23,June 28,April 23,46.23,37.69,55.6,n/a,51.58,37,30,48,n/a,43,54,45,66,n/a,57,November 22,March 16,November 8,May 21,November 6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,75,86,59,79,77,n/a,n/a,n/a,n/a,n/a,10,1,19,12,14,n/a,n/a,n/a,n/a,n/a,42.39,47.05,40.86,50.01,49.72,n/a,n/a,n/a,n/a,n/a
