,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
43,97502,observation,1546744500,97502,Sorong,1546732800,D,85,30,3000,Partly Cloudy,0.0,Steady,76,94,76,29.89,5,85,360.0,N,,7,,77.0,,,,Moderate,94,3,,,,,37.5,,,,,,,,,
44,97502,observation,1546755300,97502,Sorong,1546743600,D,89,30,3000,Partly Cloudy,1.0,Rising,73,98,59,29.84,5,89,320.0,NW,,3,,,,,,Very High,98,10,,,,,37.5,,,,,,,,,
45,97502,observation,1546766100,97502,Sorong,1546754400,D,91,30,3000,Partly Cloudy,2.0,Falling,75,101,58,29.78,5,91,330.0,NNW,,5,,,,,,Moderate,101,5,,,,,37.5,,,,,,,,,
46,97502,observation,1546776900,97502,Sorong,1546765200,D,85,34,3400,Fair,1.0,Rising,77,95,77,29.82,5,85,30.0,NNE,,8,,,,,,Low,95,0,,,,,25.0,,,,,,,,,
47,97502,observation,1546787700,97502,Sorong,1546776000,N,83,33,3300,Fair,1.0,Rising,76,90,80,29.85,3,83,40.0,NE,,5,92.0,,,,,Low,90,0,,,,,25.0,,,,,,,,,
48,97502,observation,1546798500,97502,Sorong,1546786800,N,82,33,3300,Fair,0.0,Steady,76,90,80,29.86,3,82,360.0,N,,3,,,,,,Low,90,0,,,,,25.0,,,,,,,,,
49,97502,observation,1546809300,97502,Sorong,1546797600,N,82,33,3300,Fair,2.0,Falling,75,88,81,29.81,3,82,10.0,N,,5,,,,,,Low,88,0,,,,,25.0,,,,,,,,,
50,97502,observation,1546820100,97502,Sorong,1546808400,D,77,34,3400,Fair,1.0,Rising,75,79,92,29.84,4,77,80.0,E,,3,,,,,,Low,79,0,,,,,25.0,,,,,,,,,
51,97502,observation,1546830900,97502,Sorong,1546819200,D,86,30,3000,Partly Cloudy,1.0,Rising,75,95,70,29.87,5,86,30.0,NNE,,7,,78.0,,,,Moderate,95,3,,,,,37.5,,,,,,,,,
52,97502,observation,1546841700,97502,Sorong,1546830000,D,89,30,3000,Partly Cloudy,2.0,Falling,75,99,63,29.84,5,89,30.0,NNE,,6,,,,,,Very High,99,10,,,,,37.5,,,,,,,,,
53,97502,observation,1546852500,97502,Sorong,1546840800,D,91,34,3400,Fair,1.0,Rising,72,98,53,29.77,5,91,330.0,NNW,,8,,,,,,High,98,6,,,,,25.0,,,,,,,,,
54,97502,observation,1546863300,97502,Sorong,1546851600,D,85,34,3400,Fair,0.0,Steady,75,94,72,29.8,5,85,20.0,NNE,,10,,,,,,Low,94,0,,,,,25.0,,,,,,,,,
55,97502,observation,1546874100,97502,Sorong,1546862400,N,83,33,3300,Fair,1.0,Rising,77,92,81,29.84,3,83,20.0,NNE,,5,92.0,,,,,Low,92,0,,,,,12.5,,,,,,,,,
56,97502,observation,1546884900,97502,Sorong,1546873200,N,81,29,2900,Partly Cloudy,2.0,Falling,76,87,84,29.82,3,81,,CALM,,0,,,,,,Low,87,0,,,,,25.0,,,,,,,,,
57,97502,observation,1546895700,97502,Sorong,1546884000,N,77,29,2900,Partly Cloudy,2.0,Falling,76,79,96,29.78,3,77,,CALM,,0,,,,,,Low,79,0,,,,,25.0,,,,,,,,,
58,97502,observation,1546906500,97502,Sorong,1546894800,D,79,30,3000,Partly Cloudy,1.0,Rising,76,82,93,29.82,3,79,350.0,N,,5,,,,,,Low,82,0,,,,,37.5,,,,,,,,,
59,97502,observation,1546917300,97502,Sorong,1546905600,D,82,28,2800,Mostly Cloudy,1.0,Rising,77,91,84,29.87,6,82,20.0,NNE,,6,,77.0,0.03,,,Moderate,91,3,,,,,50.0,,,,,,,,,
60,97502,observation,1546928100,97502,Sorong,1546916400,D,88,34,3400,Fair,2.0,Falling,77,99,69,29.82,6,88,30.0,NNE,,9,,,,,,Extreme,99,11,,,,,25.0,,,,,,,,,
61,97502,observation,1546938900,97502,Sorong,1546927200,D,88,34,3400,Fair,2.0,Falling,76,99,66,29.76,5,88,350.0,N,,8,,,,,,High,99,6,,,,,25.0,,,,,,,,,
62,97502,observation,1546949700,97502,Sorong,1546938000,D,85,34,3400,Fair,1.0,Rising,76,94,75,29.8,5,85,10.0,N,,5,,,,,,Low,94,0,,,,,25.0,,,,,,,,,
